"","Year","GeoFIPS","american_indian_alaska_native","asian","black","female","hawaiian_other","hisp","male","med_income","not_cit","other_race","two_more","white","percent_manuf","County.Name","Deaths","Population","Crude.Rate","unemployment_rate"
"4035",2006,5051,0.00908957168677231,0.00102980118532218,0.0819637678113572,0.517128325837502,0,NA,0.482871674162498,33688,0.955035517632718,0.0191879282081459,0.0189042074734143,0.869824723634988,0.0511982943085031,"Garland County, AR",17,94077,"Unreliable",5.3
"4036",2007,5051,0.00329974784945679,0.0034450197673574,0.0892903466810555,0.507185771653298,0,NA,0.492814228346702,34947,0.96556017889199,0.0254329621981716,0.0168411659109068,0.861690757593052,0.042061265559613,"Garland County, AR",23,94753,"24.3",5.6
"4037",2008,5051,0.00615605602010978,0.00764376955830298,0.0793720822859488,0.518175755399374,0,NA,0.481824244600626,36922,0.952834350792592,0.0307802801005489,0.0193402759965116,0.856707536038578,0.0400087556032894,"Garland County, AR",25,95636,"26.1",5.6
"4038",2009,5051,0.00257923008966379,0.00712842331867708,0.0852059830014521,0.514190842717737,0,NA,0.485809157282263,37678,0.959656373440023,0.0252947328872145,0.0148458046893246,0.864945826013668,0.0321515217659383,"Garland County, AR",19,95840,"Unreliable",7.5
"4039",2010,5051,0.00776951479536117,0.00946487076811067,0.0840293306984242,0.510416558323366,0.00119611004212388,NA,0.489583441676634,36482,0.943397992615321,0.0330542409901711,0.0124707473087524,0.852015185397057,0.0324004309857127,"Garland County, AR",28,96024,"29.2",8.1
"4040",2011,5051,0.0070528396688769,0.000679543676125366,0.0948581195173181,0.514991145339978,0,NA,0.485008854660022,34251,0.977544170338948,0.0334726741073267,0.017441621020551,0.846495202009802,0.0331695448395899,"Garland County, AR",21,97124,"21.6",8.3
"4041",2012,5051,0.00573769645934594,0.00861686428696738,0.0853430750337967,0.518920982838509,0,NA,0.481079017161491,40893,0.954191304706769,0.0421555576194751,0.0155825929021805,0.842564213698234,0.0349933269780744,"Garland County, AR",24,96903,"24.8",7.6
"4042",2013,5051,0.00857234005330699,0.00128636555421774,0.0859806736439134,0.503802496578268,0,NA,0.496197503421732,39589,0.962685108003252,0.0466693423070194,0.0223930515678223,0.83509822687372,0.0407080077805407,"Garland County, AR",22,97173,"22.6",7.4
"4043",2014,5051,0.0027640204681367,0.00809683319290602,0.0845235404122398,0.509617558208833,0.000462382606193872,NA,0.490382441791167,41032,0.956536035017776,0.0224204188158895,0.0224923449990752,0.859240459505559,0.0386727232589362,"Garland County, AR",26,97322,"26.7",6.2
"4044",2015,5051,0.00406474783127695,0.00492914990172572,0.0788252364242568,0.514874918962306,0,NA,0.485125081037694,37013,0.956059561418854,0.0100435288185476,0.0321783961225393,0.869958940901654,0.0396407720632954,"Garland County, AR",26,97177,"26.8",5.4
"4045",2016,5051,0.0101459831550007,0.0107307364814264,0.0869025513710927,0.517588764529068,0,NA,0.482411235470932,42826,0.951506509227818,0.0138186443981657,0.0146598684817957,0.863742216112519,0.0384098325571404,"Garland County, AR",26,97477,"26.7",4.3
"4046",2017,5051,0.00544304567293073,0.00274686290011961,0.0847169008088548,0.51918749619899,0,NA,0.48081250380101,46101,0.969825052200531,0.0281173346307446,0.0304182124105496,0.848557643576801,0.0390106917442206,"Garland County, AR",35,98658,"35.5",4.1
"4047",2018,5051,0.0101256631099098,0.0105694172701051,0.0743691631199952,0.525001512798273,0,NA,0.474998487201727,42779,0.958660265849083,0.00784638037799786,0.0356314419993142,0.861457934122678,0.0407273657863629,"Garland County, AR",30,99154,"30.3",4
"4048",2019,5051,0.00854245064697241,0.00956875213812811,0.0832612239148371,0.526452417845572,0,NA,0.473547582154428,45265,0.953645382649468,0.00636910631276035,0.025053830519389,0.867204636467913,0.0408686430619302,"Garland County, AR",24,99386,"24.1",3.7
"4049",2005,37071,0.00613992400161522,0.0129632122260072,0.141937855271741,0.515738085130616,0,NA,0.484261914869384,35247,0.953205081744857,0.0429587600045558,0.00551350679740322,0.790486741698678,0.152609956479926,"Gaston County, NC",39,193527,"20.2",6.5
"4050",2006,37071,0.0025627266207616,0.0108477058330868,0.136752308209251,0.518232470899763,0.00113843237360642,NA,0.481767529100237,42410,0.949873869717197,0.0417859847440032,0.0163192023952216,0.79059363982407,0.142163218052958,"Gaston County, NC",42,196284,"21.4",5.9
"4051",2007,37071,0.00618658503468536,0.00992421063026144,0.14345668649863,0.518897968252401,0.000982546226578122,NA,0.481102031747599,41259,0.943585059372454,0.0352630409558842,0.0126595403263633,0.791527390327598,0.134046822908938,"Gaston County, NC",49,200377,"24.5",6.1
"4052",2008,37071,0.00408846568833795,0.00938169818897905,0.145515509558301,0.518233589285801,0,NA,0.481766410714199,46353,0.944237198747817,0.0380299885329424,0.0113412586668215,0.791643079364619,0.118605833584095,"Gaston County, NC",39,204454,"19.1",7.6
